36,44,-4,4,278.5,0,0
32,48,-4,4,278.5,0,0
28,52,-4,4,278.5,0,0
24,56,-4,4,278.5,0,0
20,60,-4,4,278.5,0,0
16,64,-4,4,278.5,0,0
12,68,4,4,278.5,0,0
16,72,4,4,278.5,0,0
20,76,4,4,278.5,0,0
24,80,4,4,278.5,0,0
28,84,4,4,278.5,0,0
32,88,4,4,278.5,0,0
36,92,4,4,278.5,0,0
40,96,4,4,278.5,0,0
44,100,4,4,278.5,0,0
48,104,4,4,278.5,0,0
52,108,4,4,278.5,0,0
56,112,4,4,278.5,0,0
60,116,4,4,278.5,0,0
64,120,4,4,278.5,0,0
68,124,4,4,278.5,0,0
72,128,4,4,278.5,0,0
76,132,4,4,278.5,0,0
80,136,4,4,278.5,0,0
84,140,4,4,278.5,0,0
88,144,4,4,278.5,0,0
92,148,4,4,278.5,0,0
96,152,4,4,278.5,0,0
100,156,4,4,278.5,0,0
104,160,4,4,278.5,0,0
108,164,4,4,278.5,0,0
112,168,4,4,278.5,0,0
116,172,4,4,278.5,0,0
120,176,4,4,278.5,0,0
124,180,4,4,278.5,0,0
128,184,4,4,278.5,0,0
132,188,4,4,278.5,0,0
136,192,4,4,278.5,0,0
140,196,4,4,278.5,0,0
144,200,4,4,278.5,0,0
148,204,4,4,278.5,0,0
152,208,4,4,282.5,0,102
156,212,4,4,282.5,0,0
160,216,4,4,282.5,0,0
164,220,4,4,282.5,0,0
168,224,4,4,282.5,0,0
172,228,4,4,282.5,0,0
176,232,4,4,282.5,0,0
180,236,4,4,282.5,0,0
184,240,4,4,282.5,0,0
188,244,4,4,282.5,0,0
192,248,4,4,282.5,0,0
196,252,4,4,282.5,0,0
200,256,4,4,282.5,0,0
204,260,4,4,282.5,0,0
208,264,4,4,282.5,0,0
212,268,4,4,286.5,0,102
216,272,4,4,294.5,0,102
220,276,4,4,298.5,0,102
224,280,4,4,302.5,0,102
228,284,4,4,306.5,0,102
232,288,4,4,310.5,0,102
